Название;Цена, руб.;Артикул;Стартовый ток;Емкость;Номинальное напряжение;Клемы;Полярность;Длина;Ширина;Высота;Вес;Изготовитель;Страна производства
TUBOR SILVER 100 Ач (D 31 R) прям.п. (1);10000;00005247;850А;100,0 Ач;12В;Толстые;Прямая;302 мм.;170 мм.;220 мм.;22.8 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
TUBOR SILVER 100 Ач (D 31 L) обр.п. (0);10000;00005246;850А;100,0 Ач;12В;Толстые;Обратная;302 мм.;170 мм.;220 мм.;22.8 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
TUBOR EFB 100 Ач (D 31L) обр.п. (0);11550;00005241;900А;100,0 Ач;12В;Толстые;Обратная;302 мм.;170 мм.;220 мм.;23 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
Black Horse 225 Ач обр.п. (3);14630;00005230;1450А;225,0 Ач;12В;Толстые;Обратная;515 мм.;272 мм.;250 мм.;51 кг.;BLACK HORSE -FAS DOO BEOGRAD;Сербия г.Белград
Black Horse 190 Ач (болт) прям.п.(4);12220;00005229;1250А;190,0 Ач;12В;Под болт;Прямая;513 мм.;223 мм.;223 мм.;42 кг.;BLACK HORSE -FAS DOO BEOGRAD;Сербия г.Белград
Spark 75 Ач обр.п. (0);5390;00005159;620А;75,0 Ач;12В;Толстые;Обратная;278 мм.;175 мм.;190 мм.;17.5 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
FireBall 140 Ач прям.п. (4);11760;00005092;900А;140,0 Ач;12В;Толстые;Прямая;513 мм.;189 мм.;223 мм.;34 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
DELTA CT 1207.1 7 Ач;2140;00001854;100А;7,0 Ач;12В;4F;Обратная;114 мм.;70 мм.;132 мм.;2.31 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
Bars Silver 100 Ач обр.п. (0);8030;00005067;780А;100,0 Ач;12В;Толстые;Обратная;353 мм.;175 мм.;190 мм.;23.4 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
TUBOR SYNERGY 74 Ач (низ) обр. п. (0);8250;00005071;700А;74,0 Ач;12В;Толстые;Обратная;275 мм.;170 мм.;173 мм.;18.1 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
TUBOR EFB 75 Ач обр. п. (0);9400;00005074;760А;75,0 Ач;12В;Толстые;Обратная;273 мм.;172 мм.;187 мм.;20 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
TUBOR EFB 100 Ач обр. п. (0);14500;00005073;930А;100,0 Ач;12В;Толстые;Обратная;347 мм.;172 мм.;187 мм.;26.5 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
Forse EFB 74 Ач (низ) обр.п.(0);9080;00005078;710А;74,0 Ач;12В;Толстые;Обратная;276 мм.;175 мм.;175 мм.;19.2 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Forse EFB 60 Ач (низ) прям.п. (1);7270;00005079;620А;60,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;175 мм.;16.5 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Forse EFB 60 Ач (низ) обр.п. (0);7270;00005080;620А;60,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;175 мм.;16.5 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Forse EFB 110 Ач прям.п. (1);11750;00005077;880А;110,0 Ач;12В;Толстые;Прямая;353 мм.;175 мм.;195 мм.;27 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Forse EFB 110 Ач обр.п. (0);11750;00005076;880А;110,0 Ач;12В;Толстые;Обратная;353 мм.;175 мм.;195 мм.;27 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Solite SUPER 65 Ач (75 D 23 L) с буртиком (0);6420;00005062;550А;65,0 Ач;12В;Толстые;Обратная;230 мм.;168 мм.;220 мм.;15.6 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite SUPER 65 Ач (75 D 23 L) (0);6420;00005061;550А;65,0 Ач;12В;Толстые;Обратная;230 мм.;168 мм.;220 мм.;15.6 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Русская Звезда 75 Ач обр.п. (0);5050;00005042;600А;75,0 Ач;12В;Толстые;Обратная;276 мм.;175 мм.;190 мм.;15.6 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
TUBOR SYNERGY 65 Ач прям. п. (1);7200;00005029;620А;65,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;17 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
TUBOR SYNERGY 65 Ач обр. п. (0);7200;00005028;620А;65,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;17 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
TUBOR SYNERGY 61 Ач прям. п. (1);6550;00005027;620А;61,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;16 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
TUBOR SYNERGY 61 Ач обр. п. (0);6550;00005026;620А;61,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;16 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
TUBOR SYNERGY 110 Ач обр. п. (0);11150;00005025;950А;110,0 Ач;12В;Толстые;Обратная;353 мм.;175 мм.;190 мм.;26.5 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
TUBOR STANDART 75 Ач обр. п. (0);6750;00005023;700А;75,0 Ач;12В;Толстые;Обратная;278 мм.;175 мм.;190 мм.;18.5 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
TUBOR STANDART 75 Ач  прям. п. (1);6750;00005024;700А;75,0 Ач;12В;Толстые;Прямая;278 мм.;175 мм.;190 мм.;18.5 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
TUBOR STANDART 60 Ач обр. п. (0);5300;00005021;540А;60,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;15.4 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
TUBOR STANDART 60 Ач  прям. п. (1);5300;00005022;540А;60,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;15.4 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
TUBOR EFB 60 Ач прям. п. (1);7900;00005019;600А;60,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;16.1 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
TUBOR EFB 60 Ач обр. п. (0);7900;00005018;600А;60,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;16.1 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
TITAN ARCTIC 75 Aч обр. п. (0);8750;00005011;750А;75,0 Ач;12В;Толстые;Обратная;278 мм.;175 мм.;190 мм.;19 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
TITAN ARCTIC 62 Aч обр. п. (0);7300;00005010;660А;62,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;16.5 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
TITAN ARCTIC 60 Aч прям. п. (1);7000;00005009;640А;60,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;16.3 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
TITAN ARCTIC 100 Aч обр. п. (0);11550;00005008;950А;100,0 Ач;12В;Толстые;Обратная;353 мм.;175 мм.;190 мм.;26.5 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
DELTA CT 1214.1 14 Ач;4620;00004998;200А;14,0 Ач;12В;4F;Прямая;132 мм.;89 мм.;164 мм.;4.6 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
Forse 192 Ач (конус) обр.п. (3);20660;00004255;1350А;192,0 Ач;12В;Толстые;Обратная;513 мм.;223 мм.;217 мм.;51 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
FB Hybrid 225 Ач обр.п. (3);22320;00001260;1500А;225,0 Ач;12В;Толстые;Обратная;518 мм.;274 мм.;237 мм.;60.4 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Тюмень Premium 64 Ач обр.п. (0);6000;00003138;620А;64,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;16 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
Numax Silver 90 Ач (110 D 26R) (1);9760;00004866;730А;90,0 Ач;12В;Толстые;Прямая;258 мм.;172 мм.;200 мм.;19 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax Silver 105 Ач (125 D 31L) (0);11260;00002015;850А;105,0 Ач;12В;Толстые;Обратная;310 мм.;172 мм.;220 мм.;22 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Тюмень Premium 77 Ач обр.п. (0);7050;00003139;680А;77,0 Ач;12В;Толстые;Обратная;280 мм.;175 мм.;190 мм.;21 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
MUTLU SFB M2 100 Ач прям.п. (1);9870;00001940;830А;100,0 Ач;12В;Толстые;Прямая;345 мм.;175 мм.;195 мм.;23.1 кг.;MUTLU AKU VE MALZEMELERI SANAYII A.S.;Турецкая Республика г. Анкара
Numax Silver 100 Ач (115 D 31R) (1);10270;00001691;800А;100,0 Ач;12В;Толстые;Прямая;310 мм.;172 мм.;220 мм.;21 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax Silver 100 Ач (115 D 31L) (0);10270;00001690;800А;100,0 Ач;12В;Толстые;Обратная;310 мм.;172 мм.;220 мм.;21 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
DELTA CT 12026 2,5 Ач;1180;00001867;30А;2,5 Ач;12В;4F;Обратная;114 мм.;49 мм.;86 мм.;0.9 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
TUDOR AGM 60 Ач обр.п.  (0);13670;00003355;680А;60,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;17.8 кг.;EXIDE TECHNOLOGIES Transportation Business Group Europe;Польша г. Познань
MUTLU SFB M2 80 Ач (низ) обр.п. (0);11280;00004043;740А;80,0 Ач;12В;Толстые;Обратная;315 мм.;175 мм.;175 мм.;20.2 кг.;MUTLU AKU VE MALZEMELERI SANAYII A.S.;Турецкая Республика г. Анкара
MUTLU SFB M3 75 Ач (низ) обр.п. (0);7920;00004694;720А;75,0 Ач;12В;Толстые;Обратная;275 мм.;175 мм.;175 мм.;17.4 кг.;MUTLU AKU VE MALZEMELERI SANAYII A.S.;Турецкая Республика г. Анкара
